name,red,green,blue,alpha,id
task_0,72,70,253,255,0
task_1,52,220,44,255,1
task_2,234,69,51,255,2
task_3,52,246,232,255,3
task_4,235,214,47,255,4
task_5,249,88,245,255,5
task_6,50,87,103,255,6
task_7,153,164,160,255,7
task_8,157,53,149,255,8
task_9,148,136,44,255,9
task_10,177,250,165,255,10
task_11,47,157,217,255,11
task_12,254,146,116,255,12
task_13,242,175,238,255,13
task_14,137,49,43,255,14
task_15,65,247,133,255,15
task_16,151,246,51,255,16
task_17,153,123,251,255,17
task_18,131,197,254,255,18
task_19,61,162,112,255,19
task_20,64,43,172,255,20
task_21,242,44,151,255,21
task_22,155,47,250,255,22
task_23,240,212,154,255,23
task_24,59,132,42,255,24
task_25,196,108,138,255,25
task_26,95,101,175,255,26
task_27,51,49,47,255,27
task_28,127,202,103,255,28
task_29,83,192,170,255,29
task_30,171,250,248,255,30
task_31,193,184,102,255,31
task_32,218,128,44,255,32
task_33,244,253,102,255,33
task_34,130,112,106,255,34
task_35,223,146,181,255,35
task_36,188,45,88,255,36
task_37,193,207,207,255,37
task_38,123,231,197,255,38
task_39,153,190,42,255,39
